instance,result,verified,time_s,timeout,exit_code
0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised,TIMEOUT,skip,300.000,300,124
16c999d046885c8e51f196e60c34d966-aaai10-planning-ipc5-pathways-17-step20,TIMEOUT,skip,300.000,300,124
1d18837c0ced5c18a3a4693993e61728-SC25_Timetable_C_392_E_45_Cl_25_D_7_T_50.normalised,SAT,ok,4.316,300,0
31e843c53a76ff3961935ad55b953298-sqrt-mitern171,TIMEOUT,skip,300.000,300,124
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,ok,56.140,300,0
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,ok,43.467,300,0
5dbe7b31f9b8d8e56045493439adb949-bp4_CSO_IXA_ZR.normalised,TIMEOUT,skip,300.000,300,124
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,ok,226.148,300,0
83aa254f7d17e1df7bee19322ac4752b-1.normalised,ERROR,skip,61.263,300,134
849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized,TIMEOUT,skip,300.000,300,124
918d9e7c2e197312517736421d728958-SCPC-500-1,UNSAT,ok,190.775,300,0
931621d9964e9d0cd1c4001822015c92-DLTM_twitter845_79_19,TIMEOUT,skip,300.000,300,124
9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,ok,8.521,300,0
e318e2ac78b473091c3c2197afd7fc98-544707209399nw.shuffled-as.sat03-1671,SAT,ok,80.144,300,0
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,ok,22.383,300,0
ee5fb3e181571740adb8444bd052dbdc-11.normalised,ERROR,skip,27.874,300,134
f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172,TIMEOUT,skip,300.000,300,124
f17dfbed8c18716a41b231702e127524-SC25_Timetable_C_406_E_45_Cl_26_D_7_T_50.normalised,SAT,ok,86.269,300,0
f25a1df88f89c6bcbe2602fa7f6e816b-1-TC-256-K-63.sanitized,SAT,ok,194.970,300,0
fab2022deb130fe3ad1136a5c71b4109-case9,SAT,ok,121.078,300,0
