config	instance	seed	result	time_s	conflicts	propagations	decisions	timeout	verified
cand	00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised	0	TIMEOUT	3600.157	NA	NA	NA	3600	skip
cand	00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised	0	SATISFIABLE	106.841	209	98679332	2063102	3600	ok
cand	0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised	0	UNSATISFIABLE	561.033	839606	873674724	1603474	3600	ok
cand	032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40	0	SATISFIABLE	74.380	0	385936	0	3600	ok
cand	03e852aa864cfe6eb49c264b462b8157-gm24sparrc	0	UNSATISFIABLE	2.094	62	397621	45130	3600	ok
cand	04648cef5bed430ab6429991fa9e107d-ramsey_3_6_19.normalised	0	TIMEOUT	3600.110	NA	NA	NA	3600	skip
cand	04f43bb4a4f2c193a18e7195a4fd8e41-goldcrest-and-11	0	UNSATISFIABLE	2720.760	439659	3483711546	2761699	3600	ok
cand	053e06424279f5cfec8bb14dfa9af23c-oisc-subrv-and-nested-15	0	TIMEOUT	3601.022	NA	NA	NA	3600	skip
cand	062f58e44eb73f9274b57af5092cad90-rook-51-0-0	0	TIMEOUT	3600.146	NA	NA	NA	3600	skip
cand	06d2ca2ee0b47f00d93090495f7fd4f4-clqcl_100_6_5.normalised	0	UNSATISFIABLE	1.079	0	0	0	3600	ok
cand	07cea7a64248a60d509368d09d3057c2-pj2013_k9	0	UNSATISFIABLE	21.703	9211	13435693	1364922	3600	ok
cand	081f111af59344b61346367a930e24f6-Break_triple_04_06.xml	0	SATISFIABLE	0.041	29	1123	55	3600	ok
cand	0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12	0	SATISFIABLE	70.850	271381	240773945	322356	3600	ok
cand	08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6	0	UNSATISFIABLE	0.078	0	0	0	3600	ok
