config,instance,result_A,result_cfg,wall_A,wall_cfg,conf_A,conf_cfg,props_A,props_cfg,work_ratio_conf,speed_ratio_pps,net_pred,actual_wall_ratio,dominant
B_metadata_only,sudoku-N30-12,UNSAT,UNSAT,195.166,188.346,259775,259775,1312437897,1312437897,1.000,0.965,0.965,0.965,noise
B_metadata_only,6s299b685_Iter30,SAT,SAT,16.223,16.110,3764,3764,28092395,28092395,1.000,0.993,0.993,0.993,noise
B_metadata_only,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,57.417,57.984,1607608,1607608,30213317,30213317,1.000,1.010,1.010,1.010,noise
B_metadata_only,mp1-Nb7T46,SAT,SAT,43.567,43.210,425229,425229,289974291,289974291,1.000,0.992,0.992,0.992,noise
B_metadata_only,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,213.978,213.719,732107,732107,617655456,617655456,1.000,0.999,0.999,0.999,noise
B_metadata_only,SCPC-500-13,UNSAT,UNSAT,13.689,13.760,188144,188144,13830775,13830775,1.000,1.005,1.005,1.005,noise
B_metadata_only,velev-pipe-sat-1.0-b7,SAT,SAT,64.848,66.526,179968,179968,436279112,436279112,1.000,1.026,1.026,1.026,noise
B_metadata_only,brocard_problem_large,UNSAT,UNSAT,8.601,8.791,403,403,22600764,22600764,1.000,1.022,1.022,1.022,noise
B_metadata_only,battleship-16-31-sat,SAT,SAT,22.884,23.713,593019,593019,13003103,13003103,1.000,1.036,1.036,1.036,noise
B_metadata_only,case9,SAT,SAT,127.724,131.232,4186969,4186969,436186040,436186040,1.000,1.027,1.027,1.027,noise
C_lbd_ema,sudoku-N30-12,UNSAT,UNSAT,195.166,227.687,259775,221944,1312437897,1267030793,0.854,1.208,1.032,1.167,mixed
C_lbd_ema,6s299b685_Iter30,SAT,SAT,16.223,20.631,3764,5517,28092395,32159152,1.466,1.111,1.628,1.272,mixed
C_lbd_ema,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,57.417,94.892,1607608,2248794,30213317,43143571,1.399,1.157,1.619,1.653,mixed
C_lbd_ema,mp1-Nb7T46,SAT,TIMEOUT,43.567,300.000,425229,0,289974291,0,0.000,,,6.886,incomparable
C_lbd_ema,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,213.978,173.799,732107,388853,617655456,323838071,0.531,1.549,0.823,0.812,mixed
C_lbd_ema,SCPC-500-13,UNSAT,UNSAT,13.689,9.695,188144,142278,13830775,10075058,0.756,0.972,0.735,0.708,trajectory
C_lbd_ema,velev-pipe-sat-1.0-b7,SAT,SAT,64.848,64.483,179968,168944,436279112,367643100,0.939,1.180,1.108,0.994,execution
C_lbd_ema,brocard_problem_large,UNSAT,UNSAT,8.601,12.203,403,656,22600764,42388008,1.628,0.756,1.231,1.419,mixed
C_lbd_ema,battleship-16-31-sat,SAT,TIMEOUT,22.884,300.000,593019,0,13003103,0,0.000,,,13.110,incomparable
C_lbd_ema,case9,SAT,TIMEOUT,127.724,300.000,4186969,0,436186040,0,0.000,,,2.349,incomparable
D_focused_stable,sudoku-N30-12,UNSAT,UNSAT,195.166,274.146,259775,295030,1312437897,1338444152,1.136,1.377,1.564,1.405,mixed
D_focused_stable,6s299b685_Iter30,SAT,SAT,16.223,103.132,3764,14269,28092395,58422147,3.791,3.057,11.588,6.357,mixed
D_focused_stable,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,57.417,292.814,1607608,3731027,30213317,66704568,2.321,2.310,5.361,5.100,mixed
D_focused_stable,mp1-Nb7T46,SAT,SAT,43.567,39.763,425229,498333,289974291,211797570,1.172,1.250,1.464,0.913,mixed
D_focused_stable,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,213.978,60.574,732107,40492,617655456,37876228,0.055,4.616,0.255,0.283,mixed
D_focused_stable,SCPC-500-13,UNSAT,UNSAT,13.689,29.051,188144,323348,13830775,22173898,1.719,1.324,2.275,2.122,mixed
D_focused_stable,velev-pipe-sat-1.0-b7,SAT,SAT,64.848,29.598,179968,184,436279112,1272744,0.001,156.455,0.160,0.456,mixed
D_focused_stable,brocard_problem_large,UNSAT,UNSAT,8.601,17.903,403,673,22600764,53276061,1.670,0.883,1.475,2.082,mixed
D_focused_stable,battleship-16-31-sat,SAT,SAT,22.884,0.092,593019,0,13003103,0,0.000,,,0.004,incomparable
D_focused_stable,case9,SAT,SAT,127.724,242.428,4186969,6801760,436186040,673226892,1.625,1.230,1.998,1.898,mixed
E_combined,sudoku-N30-12,UNSAT,UNSAT,195.166,282.184,259775,276573,1312437897,1297751190,1.065,1.462,1.557,1.446,execution
E_combined,6s299b685_Iter30,SAT,SAT,16.223,92.899,3764,5097,28092395,27275660,1.354,5.898,7.987,5.726,mixed
E_combined,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,57.417,218.497,1607608,3522464,30213317,67725767,2.191,1.698,3.720,3.805,mixed
E_combined,mp1-Nb7T46,SAT,SAT,43.567,0.643,425229,13575,289974291,3002786,0.032,1.425,0.045,0.015,mixed
E_combined,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,213.978,57.604,732107,42812,617655456,39664416,0.058,4.192,0.245,0.269,mixed
E_combined,SCPC-500-13,UNSAT,UNSAT,13.689,25.713,188144,269087,13830775,18732690,1.430,1.387,1.983,1.878,mixed
E_combined,velev-pipe-sat-1.0-b7,SAT,SAT,64.848,48.857,179968,90541,436279112,179902099,0.503,1.827,0.919,0.753,mixed
E_combined,brocard_problem_large,UNSAT,UNSAT,8.601,17.742,403,673,22600764,53276061,1.670,0.875,1.461,2.063,mixed
E_combined,battleship-16-31-sat,SAT,SAT,22.884,0.089,593019,0,13003103,0,0.000,,,0.004,incomparable
E_combined,case9,SAT,SAT,127.724,243.043,4186969,6801760,436186040,673226892,1.625,1.233,2.003,1.903,mixed
F_full_stack,sudoku-N30-12,UNSAT,TIMEOUT,195.166,300.000,259775,0,1312437897,0,0.000,,,1.537,incomparable
F_full_stack,6s299b685_Iter30,SAT,SAT,16.223,225.984,3764,185552,28092395,323710589,49.296,1.209,59.593,13.930,mixed
F_full_stack,REGRandom-K4-L1-Seed40.sanitized,UNSAT,TIMEOUT,57.417,300.000,1607608,0,30213317,0,0.000,,,5.225,incomparable
