config,instance,result,wall_s,conflicts,decisions,propagations,props_per_s,restarts,max_rss_mb_unknown
A_baseline,sudoku-N30-12,UNSAT,195.166,259775,6772770,1312437897,6724726,617,
A_baseline,6s299b685_Iter30,SAT,16.223,3764,757127,28092395,1731640,19,
A_baseline,REGRandom-K4-L1-Seed40.sanitized,UNSAT,57.417,1607608,6363482,30213317,526209,3069,
A_baseline,mp1-Nb7T46,SAT,43.567,425229,1413611,289974291,6655824,1020,
A_baseline,Kakuro-easy-112-ext.xml.hg_7,SAT,213.978,732107,3188069,617655456,2886537,1533,
A_baseline,SCPC-500-13,UNSAT,13.689,188144,283638,13830775,1010357,508,
A_baseline,velev-pipe-sat-1.0-b7,SAT,64.848,179968,2576743,436279112,6727719,503,
A_baseline,brocard_problem_large,UNSAT,8.601,403,1101,22600764,2627690,2,
A_baseline,battleship-16-31-sat,SAT,22.884,593019,1415490,13003103,568218,1274,
A_baseline,case9,SAT,127.724,4186969,5354982,436186040,3415067,7418,
B_metadata_only,sudoku-N30-12,UNSAT,188.346,259775,6772770,1312437897,6968228,617,
B_metadata_only,6s299b685_Iter30,SAT,16.110,3764,757127,28092395,1743786,19,
B_metadata_only,REGRandom-K4-L1-Seed40.sanitized,UNSAT,57.984,1607608,6363482,30213317,521063,3069,
B_metadata_only,mp1-Nb7T46,SAT,43.210,425229,1413611,289974291,6710814,1020,
B_metadata_only,Kakuro-easy-112-ext.xml.hg_7,SAT,213.719,732107,3188069,617655456,2890035,1533,
B_metadata_only,SCPC-500-13,UNSAT,13.760,188144,283638,13830775,1005144,508,
B_metadata_only,velev-pipe-sat-1.0-b7,SAT,66.526,179968,2576743,436279112,6558024,503,
B_metadata_only,brocard_problem_large,UNSAT,8.791,403,1101,22600764,2570898,2,
B_metadata_only,battleship-16-31-sat,SAT,23.713,593019,1415490,13003103,548353,1274,
B_metadata_only,case9,SAT,131.232,4186969,5354982,436186040,3323778,7418,
C_lbd_ema,sudoku-N30-12,UNSAT,227.687,221944,5057196,1267030793,5564792,1444,
C_lbd_ema,6s299b685_Iter30,SAT,20.631,5517,732478,32159152,1558778,91,
C_lbd_ema,REGRandom-K4-L1-Seed40.sanitized,UNSAT,94.892,2248794,9222335,43143571,454660,6713,
C_lbd_ema,mp1-Nb7T46,TIMEOUT,300.000,0,0,0,0,0,
C_lbd_ema,Kakuro-easy-112-ext.xml.hg_7,SAT,173.799,388853,2479676,323838071,1863291,2426,
C_lbd_ema,SCPC-500-13,UNSAT,9.695,142278,230152,10075058,1039201,580,
C_lbd_ema,velev-pipe-sat-1.0-b7,SAT,64.483,168944,2192771,367643100,5701396,1174,
C_lbd_ema,brocard_problem_large,UNSAT,12.203,656,1471,42388008,3473573,7,
C_lbd_ema,battleship-16-31-sat,TIMEOUT,300.000,0,0,0,0,0,
C_lbd_ema,case9,TIMEOUT,300.000,0,0,0,0,0,
D_focused_stable,sudoku-N30-12,UNSAT,274.146,295030,5312024,1338444152,4882231,861,
D_focused_stable,6s299b685_Iter30,SAT,103.132,14269,1119162,58422147,566479,106,
D_focused_stable,REGRandom-K4-L1-Seed40.sanitized,UNSAT,292.814,3731027,14600183,66704568,227805,4062,
D_focused_stable,mp1-Nb7T46,SAT,39.763,498333,2305230,211797570,5326499,1137,
D_focused_stable,Kakuro-easy-112-ext.xml.hg_7,SAT,60.574,40492,548210,37876228,625289,171,
D_focused_stable,SCPC-500-13,UNSAT,29.051,323348,557859,22173898,763275,796,
D_focused_stable,velev-pipe-sat-1.0-b7,SAT,29.598,184,5507,1272744,43001,2,
D_focused_stable,brocard_problem_large,UNSAT,17.903,673,3392,53276061,2975818,12,
D_focused_stable,battleship-16-31-sat,SAT,0.092,0,0,0,0,0,
D_focused_stable,case9,SAT,242.428,6801760,9180729,673226892,2777018,13573,
E_combined,sudoku-N30-12,UNSAT,282.184,276573,5560246,1297751190,4598954,987,
E_combined,6s299b685_Iter30,SAT,92.899,5097,669722,27275660,293606,39,
E_combined,REGRandom-K4-L1-Seed40.sanitized,UNSAT,218.497,3522464,15214562,67725767,309962,4910,
E_combined,mp1-Nb7T46,SAT,0.643,13575,109955,3002786,4669963,49,
E_combined,Kakuro-easy-112-ext.xml.hg_7,SAT,57.604,42812,449436,39664416,688571,292,
E_combined,SCPC-500-13,UNSAT,25.713,269087,474714,18732690,728530,863,
E_combined,velev-pipe-sat-1.0-b7,SAT,48.857,90541,1571949,179902099,3682217,116,
E_combined,brocard_problem_large,UNSAT,17.742,673,3392,53276061,3002822,12,
E_combined,battleship-16-31-sat,SAT,0.089,0,0,0,0,0,
E_combined,case9,SAT,243.043,6801760,9180729,673226892,2769991,13573,
F_full_stack,sudoku-N30-12,TIMEOUT,300.000,0,0,0,0,0,
F_full_stack,6s299b685_Iter30,SAT,225.984,185552,7482551,323710589,1432449,531,
F_full_stack,REGRandom-K4-L1-Seed40.sanitized,TIMEOUT,300.000,0,0,0,0,0,
F_full_stack,mp1-Nb7T46,SAT,4.911,123691,759341,32674091,6653246,659,
F_full_stack,Kakuro-easy-112-ext.xml.hg_7,TIMEOUT,300.000,0,0,0,0,0,
F_full_stack,SCPC-500-13,UNSAT,245.061,1214350,1399026,61337171,250293,3419,
F_full_stack,velev-pipe-sat-1.0-b7,TIMEOUT,300.000,0,0,0,0,0,
F_full_stack,brocard_problem_large,UNSAT,29.605,2307,8880,114191585,3857172,29,
F_full_stack,battleship-16-31-sat,SAT,0.092,0,0,0,0,0,
F_full_stack,case9,TIMEOUT,300.000,0,0,0,0,0,
