instance,result,time_s,timeout,exit_code
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,175.444,300,20
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,39.314,300,10
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,2.504,300,20
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,208.845,300,10
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,68.706,300,10
663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,6.938,300,20
6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,155.445,300,10
9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,46.515,300,20
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,7.436,300,10
fab2022deb130fe3ad1136a5c71b4109-case9,SAT,31.982,300,10
feistel_b64_k32_r22,SAT,29.349,300,10
feistel_b64_k52_r17,SAT,4.252,300,10
feistel_b64_k57_r18,SAT,3.027,300,10
random_v285_s2,UNSAT,6.197,300,20
random_v292_s4,UNSAT,9.306,300,20
random_v355_s3,SAT,0.800,300,10
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,173.993,300,20
1d18837c0ced5c18a3a4693993e61728-SC25_Timetable_C_392_E_45_Cl_25_D_7_T_50.normalised,SAT,15.361,300,10
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,2.522,300,20
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,218.420,300,10
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,75.285,300,10
