config,instance,result,time_s,verified,conflicts,decisions,propagations,restarts,search_sec,prop_per_search_s,lucky_attempts,lucky_solved,unknown_reason
A_default,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,207.577000,no-checker,259775,6772770,1312437897,617,202.322579,6486858.280904,7,0,
A_default,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,20.197000,ok,3764,757127,28092395,19,6.636345,4233112.503946,7,0,
A_default,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,61.471000,no-checker,1607608,6363482,30213317,3069,51.778158,583514.712903,7,0,
A_default,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,46.758000,ok,425229,1413611,289974291,1020,46.283987,6265110.458181,7,0,
A_default,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,236.213000,ok,732107,3188069,617655456,1533,192.656772,3205988.814138,7,0,
A_default,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,15.319000,no-checker,188144,283638,13830775,508,13.535948,1021781.038166,7,0,
A_default,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,72.847000,ok,179968,2576743,436279112,503,43.474599,10035264.776105,7,0,
A_default,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,11.277000,no-checker,403,1101,22600764,2,4.336972,5211185.131008,7,0,
A_default,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,0.090000,ok,0,0,0,0,0.000000,0.000000,7,1,
A_default,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,127.501000,ok,4186969,5354982,436186040,7418,127.244574,3427934.302330,7,0,
A_lucky_off,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,188.524000,no-checker,259775,6772770,1312437897,617,184.358185,7118956.486798,0,0,
A_lucky_off,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,16.117000,ok,3764,757127,28092395,19,5.688516,4938440.007904,0,0,
A_lucky_off,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,57.389000,no-checker,1607608,6363482,30213317,3069,47.875155,631085.518157,0,0,
A_lucky_off,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,44.589000,ok,425229,1413611,289974291,1020,43.832507,6615507.778280,0,0,
A_lucky_off,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,214.364000,ok,732107,3188069,617655456,1533,173.888207,3552026.135964,0,0,
A_lucky_off,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,13.502000,no-checker,188144,283638,13830775,508,13.449764,1028328.452455,0,0,
A_lucky_off,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,65.479000,ok,179968,2576743,436279112,503,39.400250,11073003.648454,0,0,
A_lucky_off,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,8.923000,no-checker,403,1101,22600764,2,4.279069,5281701.229870,0,0,
A_lucky_off,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,23.055000,ok,593019,1415490,13003103,1274,22.869826,568570.263718,0,0,
A_lucky_off,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,127.778000,ok,4186969,5354982,436186040,7418,127.602897,3418308.284960,0,0,
B_lbd_metadata,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,188.936000,no-checker,259775,6772770,1312437897,617,183.924189,7135754.704891,7,0,
B_lbd_metadata,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,21.769000,ok,3764,757127,28092395,19,5.989518,4690259.717059,7,0,
B_lbd_metadata,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,63.665000,no-checker,1607608,6363482,30213317,3069,52.290455,577797.936545,7,0,
B_lbd_metadata,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,47.586000,ok,425229,1413611,289974291,1020,46.162595,6281585.578107,7,0,
B_lbd_metadata,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,216.523000,ok,732107,3188069,617655456,1533,172.009119,3590829.716418,7,0,
