config,instance,baseline_result,config_result,baseline_time_s,config_time_s,actual_wall_ratio,work_ratio_conflicts,speed_ratio_prop_rate,net_work_speed_ratio,baseline_conflicts,config_conflicts,baseline_prop_per_search_s,config_prop_per_search_s,baseline_restarts,config_restarts
A_lucky_off,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,UNSAT,207.577000,188.524000,0.908212,1.000000,0.911209,0.911209,259775,259775,6486858.280904,7118956.486798,617,617
A_lucky_off,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,SAT,20.197000,16.117000,0.797990,1.000000,0.857176,0.857176,3764,3764,4233112.503946,4938440.007904,19,19
A_lucky_off,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,61.471000,57.389000,0.933595,1.000000,0.924621,0.924621,1607608,1607608,583514.712903,631085.518157,3069,3069
A_lucky_off,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,SAT,46.758000,44.589000,0.953612,1.000000,0.947034,0.947034,425229,425229,6265110.458181,6615507.778280,1020,1020
A_lucky_off,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,236.213000,214.364000,0.907503,1.000000,0.902580,0.902580,732107,732107,3205988.814138,3552026.135964,1533,1533
A_lucky_off,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,UNSAT,15.319000,13.502000,0.881389,1.000000,0.993633,0.993633,188144,188144,1021781.038166,1028328.452455,508,508
A_lucky_off,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,SAT,72.847000,65.479000,0.898857,1.000000,0.906282,0.906282,179968,179968,10035264.776105,11073003.648454,503,503
A_lucky_off,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,UNSAT,11.277000,8.923000,0.791257,1.000000,0.986649,0.986649,403,403,5211185.131008,5281701.229870,2,2
A_lucky_off,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,SAT,0.090000,23.055000,256.166667,,,,0,593019,0.000000,568570.263718,0,1274
A_lucky_off,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,SAT,127.501000,127.778000,1.002173,1.000000,1.002816,1.002816,4186969,4186969,3427934.302330,3418308.284960,7418,7418
B_lbd_metadata,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,UNSAT,207.577000,188.936000,0.910197,1.000000,0.909064,0.909064,259775,259775,6486858.280904,7135754.704891,617,617
B_lbd_metadata,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,SAT,20.197000,21.769000,1.077833,1.000000,0.902533,0.902533,3764,3764,4233112.503946,4690259.717059,19,19
