instance,default_result,lucky_off_result,default_time_s,lucky_off_time_s,default_minus_lucky_off_s,default_lucky_attempts,default_lucky_solved,lucky_off_lucky_attempts,lucky_off_lucky_solved
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,UNSAT,207.577000,188.524000,19.053000,7,0,0,0
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,SAT,20.197000,16.117000,4.080000,7,0,0,0
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,61.471000,57.389000,4.082000,7,0,0,0
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,SAT,46.758000,44.589000,2.169000,7,0,0,0
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,236.213000,214.364000,21.849000,7,0,0,0
663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,UNSAT,15.319000,13.502000,1.817000,7,0,0,0
6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,SAT,72.847000,65.479000,7.368000,7,0,0,0
9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,UNSAT,11.277000,8.923000,2.354000,7,0,0,0
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,SAT,0.090000,23.055000,-22.965000,7,1,0,0
fab2022deb130fe3ad1136a5c71b4109-case9,SAT,SAT,127.501000,127.778000,-0.277000,7,0,0,0
