trace,kind,seconds,conflicts,decisions,propagations,restarts,props_per_conflict,decisions_per_conflict,restarts_per_1000_conflicts,level,trail,learned,result
trace_A_default_mp1,interval,1.558000,20000,88888,12883322,68,644.166100,4.444400,3.400000,572,7201,19999,
trace_A_default_mp1,interval,3.327000,40000,162685,27424287,126,685.607175,4.067125,3.150000,678,13294,39999,
trace_A_default_mp1,interval,5.090000,60000,241618,40471558,188,674.525967,4.026967,3.133333,615,10531,59999,
trace_A_default_mp1,interval,6.800000,80000,322609,53074933,251,663.436663,4.032612,3.137500,738,19144,79999,
trace_A_default_mp1,interval,8.894000,100000,348830,67389209,254,673.892090,3.488300,2.540000,691,16744,99999,
trace_A_default_mp1,interval,10.785000,120000,423904,80374531,317,669.787758,3.532533,2.641667,698,16931,119999,
trace_A_default_mp1,interval,12.812000,140000,502715,94086488,380,672.046343,3.590821,2.714286,659,17548,139999,
trace_A_default_mp1,interval,14.771000,160000,574595,107391325,436,671.195781,3.591219,2.725000,588,8030,159999,
trace_A_default_mp1,interval,16.798000,180000,658545,122005827,504,677.810150,3.658583,2.800000,624,9475,179999,
trace_A_default_mp1,interval,18.882000,200000,685816,138201318,509,691.006590,3.429080,2.545000,634,9439,199999,
trace_A_default_mp1,interval,21.292000,220000,708271,155750115,510,707.955068,3.219414,2.318182,653,5435,219999,
trace_A_default_mp1,interval,24.427000,240000,763681,172710650,549,719.627708,3.182004,2.287500,617,12760,239999,
trace_A_default_mp1,interval,26.601000,260000,846782,186794959,618,718.442150,3.256854,2.376923,574,6329,259999,
trace_A_default_mp1,interval,28.032000,280000,907732,195648698,660,698.745350,3.241900,2.357143,389,1534,279999,
trace_A_default_mp1,interval,29.814000,300000,998285,206305590,728,687.685300,3.327617,2.426667,701,18528,299999,
trace_A_default_mp1,interval,32.112000,320000,1054932,219360338,764,685.501056,3.296663,2.387500,647,20826,319999,
trace_A_default_mp1,interval,34.405000,340000,1106541,232822661,796,684.772532,3.254532,2.341176,657,8291,339999,
trace_A_default_mp1,interval,36.698000,360000,1187391,245569859,859,682.138497,3.298308,2.386111,635,8505,359999,
trace_A_default_mp1,interval,39.247000,380000,1252296,261153867,905,687.247018,3.295516,2.381579,649,10941,379999,
trace_A_default_mp1,interval,41.534000,400000,1333745,272783474,970,681.958685,3.334363,2.425000,639,8996,399999,
trace_A_default_mp1,interval,43.974000,420000,1401757,286714958,1019,682.654662,3.337517,2.426190,525,14022,419999,
trace_A_default_mp1,final,44.625163,425229,1413611,289974291,1020,681.925012,3.324352,2.398708,,,425229,SAT
trace_C_lbd_ema_mp1,interval,1.322000,20000,246624,10213716,274,510.685800,12.331200,13.700000,498,5749,19999,
trace_C_lbd_ema_mp1,interval,2.419000,40000,412512,18201378,449,455.034450,10.312800,11.225000,525,3716,39999,
trace_C_lbd_ema_mp1,interval,4.007000,60000,608577,28291679,658,471.527983,10.142950,10.966667,596,9629,59999,
trace_C_lbd_ema_mp1,interval,5.346000,80000,760382,36493034,817,456.162925,9.504775,10.212500,608,6607,79999,
trace_C_lbd_ema_mp1,interval,6.774000,100000,938179,44738631,1010,447.386310,9.381790,10.100000,564,6239,99999,
trace_C_lbd_ema_mp1,interval,7.824000,120000,1053625,50290717,1129,419.089308,8.780208,9.408333,408,1969,119999,
trace_C_lbd_ema_mp1,interval,9.644000,140000,1253164,58694797,1356,419.248550,8.951171,9.685714,399,2172,139999,
trace_C_lbd_ema_mp1,interval,11.427000,160000,1420452,66850263,1536,417.814144,8.877825,9.600000,616,10165,159999,
trace_C_lbd_ema_mp1,interval,13.436000,180000,1614209,75245540,1750,418.030778,8.967828,9.722222,509,2753,179999,
trace_C_lbd_ema_mp1,interval,15.337000,200000,1778710,82822247,1927,414.111235,8.893550,9.635000,657,5669,199999,
trace_C_lbd_ema_mp1,interval,17.618000,220000,1966515,91703650,2135,416.834773,8.938705,9.704545,609,7146,219999,
trace_C_lbd_ema_mp1,interval,19.642000,240000,2134397,99092715,2316,412.886312,8.893321,9.650000,620,6398,239999,
trace_C_lbd_ema_mp1,interval,21.869000,260000,2295682,106380692,2486,409.156508,8.829546,9.561538,525,5515,259999,
trace_C_lbd_ema_mp1,interval,24.401000,280000,2485580,114052891,2702,407.331754,8.877071,9.650000,596,6942,279999,
trace_C_lbd_ema_mp1,interval,26.953000,300000,2658866,122193744,2885,407.312480,8.862887,9.616667,669,8771,299999,
trace_C_lbd_ema_mp1,interval,29.403000,320000,2828478,129383203,3074,404.322509,8.838994,9.606250,459,5940,319999,
trace_C_lbd_ema_mp1,interval,32.022000,340000,2990063,137085411,3255,403.192385,8.794303,9.573529,588,4243,339999,
trace_C_lbd_ema_mp1,interval,34.799000,360000,3160093,144772862,3436,402.146839,8.778036,9.544444,638,6527,359999,
trace_C_lbd_ema_mp1,interval,37.048000,380000,3288737,151102449,3569,397.638024,8.654571,9.392105,624,7366,379999,
trace_C_lbd_ema_mp1,interval,39.101000,400000,3414613,156845625,3702,392.114062,8.536532,9.255000,606,8384,399999,
trace_C_lbd_ema_mp1,interval,41.819000,420000,3595370,164319092,3898,391.235933,8.560405,9.280952,584,7101,419999,
trace_C_lbd_ema_mp1,interval,44.449000,440000,3794268,173126620,4118,393.469591,8.623336,9.359091,574,8850,31970,
trace_C_lbd_ema_mp1,interval,45.828000,460000,3981664,182044086,4325,395.748013,8.655791,9.402174,618,8411,51970,
trace_C_lbd_ema_mp1,interval,47.186000,480000,4151450,189924715,4510,395.676490,8.648854,9.395833,604,13993,71970,
trace_C_lbd_ema_mp1,interval,48.693000,500000,4336582,198115977,4707,396.231954,8.673164,9.414000,545,6553,91970,
trace_C_lbd_ema_mp1,interval,50.223000,520000,4506926,205852478,4900,395.870150,8.667165,9.423077,580,9753,111970,
trace_C_lbd_ema_mp1,interval,51.648000,540000,4640860,212792377,5035,394.059957,8.594185,9.324074,229,1226,131970,
trace_C_lbd_ema_mp1,interval,53.395000,560000,4816414,220314302,5229,393.418396,8.600739,9.337500,547,6068,151970,
trace_C_lbd_ema_mp1,interval,55.297000,580000,5009386,228564466,5444,394.076666,8.636872,9.386207,597,5872,171970,
trace_C_lbd_ema_mp1,interval,56.547000,600000,5121290,233728843,5563,389.548072,8.535483,9.271667,553,6955,191970,
trace_C_lbd_ema_mp1,interval,58.755000,620000,5304795,241857932,5770,390.093439,8.556121,9.306452,455,2356,211970,
trace_C_lbd_ema_mp1,interval,60.984000,640000,5494829,249300817,5978,389.532527,8.585670,9.340625,613,8724,231970,
trace_C_lbd_ema_mp1,interval,62.959000,660000,5658904,256531515,6158,388.684114,8.574097,9.330303,581,6887,251970,
trace_C_lbd_ema_mp1,interval,64.904000,680000,5802031,263476678,6312,387.465703,8.532399,9.282353,550,4008,271970,
trace_C_lbd_ema_mp1,interval,66.416000,700000,5918754,268937156,6435,384.195937,8.455363,9.192857,519,3425,291970,
trace_C_lbd_ema_mp1,interval,69.108000,720000,6116013,277110450,6658,384.875625,8.494462,9.247222,553,6604,311970,
trace_C_lbd_ema_mp1,interval,71.178000,740000,6277523,283487386,6838,383.091062,8.483139,9.240541,554,7404,331970,
trace_C_lbd_ema_mp1,interval,73.732000,760000,6469227,291356052,7055,383.363226,8.512141,9.282895,562,6946,351970,
trace_C_lbd_ema_mp1,interval,76.685000,780000,6647123,299546866,7250,384.034444,8.521953,9.294872,615,10738,371970,
trace_C_lbd_ema_mp1,interval,78.845000,800000,6822778,306778344,7447,383.472930,8.528472,9.308750,585,4228,391970,
trace_C_lbd_ema_mp1,interval,81.434000,820000,7006112,315276863,7646,384.483979,8.544039,9.324390,615,6529,411970,
trace_C_lbd_ema_mp1,interval,83.539000,840000,7149947,322035804,7803,383.375957,8.511842,9.289286,285,1622,431970,
trace_C_lbd_ema_mp1,interval,85.231000,860000,7273800,327372865,7936,380.666122,8.457907,9.227907,535,6349,451970,
trace_C_lbd_ema_mp1,interval,87.677000,880000,7450591,335088637,8129,380.782542,8.466581,9.237500,617,12353,471970,
trace_C_lbd_ema_mp1,interval,90.074000,900000,7619892,342407629,8316,380.452921,8.466547,9.240000,531,6696,491970,
trace_C_lbd_ema_mp1,interval,92.439000,920000,7794241,349629167,8510,380.031703,8.472001,9.250000,559,7824,511970,
