config,instance,result_A,result_cfg,wall_A,wall_cfg,conf_A,conf_cfg,props_A,props_cfg,work_ratio,speed_ratio,net_pred,actual_wall_ratio,dominant
B_metadata_only,sudoku-N30-12,UNSAT,UNSAT,256.443,227.133,259775,259775,1312437897,1312437897,1.000,0.886,0.886,0.886,execution
B_metadata_only,6s299b685_Iter30,SAT,SAT,17.564,19.294,3764,3764,28092395,28092395,1.000,1.098,1.098,1.098,execution
B_metadata_only,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.710,66.981,1607608,1607608,30213317,30213317,1.000,1.103,1.103,1.103,execution
B_metadata_only,mp1-Nb7T46,SAT,SAT,47.071,49.416,425229,425229,289974291,289974291,1.000,1.050,1.050,1.050,noise
B_metadata_only,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,265.163,260.287,732107,732107,617655456,617655456,1.000,0.982,0.982,0.982,noise
B_metadata_only,SCPC-500-13,UNSAT,UNSAT,13.403,13.676,188144,188144,13830775,13830775,1.000,1.020,1.020,1.020,noise
B_metadata_only,velev-pipe-sat-1.0-b7,SAT,SAT,81.251,77.386,179968,179968,436279112,436279112,1.000,0.952,0.952,0.952,noise
B_metadata_only,brocard_problem_large,UNSAT,UNSAT,9.845,10.077,403,403,22600764,22600764,1.000,1.024,1.024,1.024,noise
B_metadata_only,battleship-16-31-sat,SAT,SAT,23.336,24.582,593019,593019,13003103,13003103,1.000,1.053,1.053,1.053,execution
B_metadata_only,case9,SAT,SAT,126.607,130.093,4186969,4186969,436186040,436186040,1.000,1.028,1.028,1.028,noise
C_focused_stable,sudoku-N30-12,UNSAT,UNSAT,256.443,252.942,259775,261799,1312437897,1267685668,1.008,1.021,1.029,0.986,noise
C_focused_stable,6s299b685_Iter30,SAT,SAT,17.564,89.636,3764,5097,28092395,27275660,1.354,5.256,7.118,5.103,mixed
C_focused_stable,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.710,181.837,1607608,2406609,30213317,47579227,1.497,1.902,2.847,2.995,mixed
C_focused_stable,mp1-Nb7T46,SAT,SAT,47.071,0.692,425229,13681,289974291,3932516,0.032,1.084,0.035,0.015,mixed
C_focused_stable,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,265.163,54.684,732107,47264,617655456,40350065,0.065,3.157,0.204,0.206,mixed
C_focused_stable,SCPC-500-13,UNSAT,UNSAT,13.403,25.998,188144,297962,13830775,20947242,1.584,1.281,2.028,1.940,mixed
C_focused_stable,velev-pipe-sat-1.0-b7,SAT,SAT,81.251,74.806,179968,214773,436279112,444115695,1.193,0.904,1.079,0.921,mixed
C_focused_stable,brocard_problem_large,UNSAT,UNSAT,9.845,14.302,403,673,22600764,53276061,1.670,0.616,1.029,1.453,mixed
C_focused_stable,battleship-16-31-sat,SAT,SAT,23.336,7.766,593019,262181,13003103,6605992,0.442,0.655,0.290,0.333,mixed
C_focused_stable,case9,SAT,SAT,126.607,42.813,4186969,1495404,436186040,149837596,0.357,0.984,0.352,0.338,trajectory
D_focused_stable_ema,sudoku-N30-12,UNSAT,UNSAT,256.443,220.167,259775,261799,1312437897,1267685668,1.008,0.889,0.896,0.859,execution
D_focused_stable_ema,6s299b685_Iter30,SAT,SAT,17.564,87.767,3764,5097,28092395,27275660,1.354,5.147,6.969,4.997,mixed
D_focused_stable_ema,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.710,162.284,1607608,2406609,30213317,47579227,1.497,1.697,2.541,2.673,mixed
D_focused_stable_ema,mp1-Nb7T46,SAT,SAT,47.071,0.678,425229,13681,289974291,3932516,0.032,1.062,0.034,0.014,mixed
D_focused_stable_ema,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,265.163,54.575,732107,47264,617655456,40350065,0.065,3.151,0.203,0.206,mixed
D_focused_stable_ema,SCPC-500-13,UNSAT,UNSAT,13.403,25.914,188144,297962,13830775,20947242,1.584,1.277,2.022,1.933,mixed
D_focused_stable_ema,velev-pipe-sat-1.0-b7,SAT,SAT,81.251,73.730,179968,214773,436279112,444115695,1.193,0.891,1.064,0.907,mixed
D_focused_stable_ema,brocard_problem_large,UNSAT,UNSAT,9.845,14.383,403,673,22600764,53276061,1.670,0.620,1.035,1.461,mixed
D_focused_stable_ema,battleship-16-31-sat,SAT,SAT,23.336,7.834,593019,262181,13003103,6605992,0.442,0.661,0.292,0.336,mixed
D_focused_stable_ema,case9,SAT,SAT,126.607,42.995,4186969,1495404,436186040,149837596,0.357,0.989,0.353,0.340,trajectory
E_lucky,sudoku-N30-12,UNSAT,UNSAT,256.443,184.802,259775,259775,1312437897,1312437897,1.000,0.721,0.721,0.721,execution
E_lucky,6s299b685_Iter30,SAT,SAT,17.564,18.640,3764,3764,28092395,28092395,1.000,1.061,1.061,1.061,execution
E_lucky,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.710,57.377,1607608,1607608,30213317,30213317,1.000,0.945,0.945,0.945,execution
E_lucky,mp1-Nb7T46,SAT,SAT,47.071,45.483,425229,425229,289974291,289974291,1.000,0.966,0.966,0.966,noise
E_lucky,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,265.163,265.347,732107,732107,617655456,617655456,1.000,1.001,1.001,1.001,noise
