config,instance,result,wall_s,conflicts,decisions,propagations,props_per_s,restarts,lucky_solved
A_baseline,sudoku-N30-12,UNSAT,256.443,259775,6772770,1312437897,5117854,617,0
A_baseline,6s299b685_Iter30,SAT,17.564,3764,757127,28092395,1599430,19,0
A_baseline,REGRandom-K4-L1-Seed40.sanitized,UNSAT,60.710,1607608,6363482,30213317,497666,3069,0
A_baseline,mp1-Nb7T46,SAT,47.071,425229,1413611,289974291,6160360,1020,0
A_baseline,Kakuro-easy-112-ext.xml.hg_7,SAT,265.163,732107,3188069,617655456,2329343,1533,0
A_baseline,SCPC-500-13,UNSAT,13.403,188144,283638,13830775,1031916,508,0
A_baseline,velev-pipe-sat-1.0-b7,SAT,81.251,179968,2576743,436279112,5369523,503,0
A_baseline,brocard_problem_large,UNSAT,9.845,403,1101,22600764,2295659,2,0
A_baseline,battleship-16-31-sat,SAT,23.336,593019,1415490,13003103,557212,1274,0
A_baseline,case9,SAT,126.607,4186969,5354982,436186040,3445197,7418,0
B_metadata_only,sudoku-N30-12,UNSAT,227.133,259775,6772770,1312437897,5778279,617,0
B_metadata_only,6s299b685_Iter30,SAT,19.294,3764,757127,28092395,1456017,19,0
B_metadata_only,REGRandom-K4-L1-Seed40.sanitized,UNSAT,66.981,1607608,6363482,30213317,451073,3069,0
B_metadata_only,mp1-Nb7T46,SAT,49.416,425229,1413611,289974291,5868024,1020,0
B_metadata_only,Kakuro-easy-112-ext.xml.hg_7,SAT,260.287,732107,3188069,617655456,2372979,1533,0
B_metadata_only,SCPC-500-13,UNSAT,13.676,188144,283638,13830775,1011317,508,0
B_metadata_only,velev-pipe-sat-1.0-b7,SAT,77.386,179968,2576743,436279112,5637701,503,0
B_metadata_only,brocard_problem_large,UNSAT,10.077,403,1101,22600764,2242807,2,0
B_metadata_only,battleship-16-31-sat,SAT,24.582,593019,1415490,13003103,528968,1274,0
B_metadata_only,case9,SAT,130.093,4186969,5354982,436186040,3352879,7418,0
C_focused_stable,sudoku-N30-12,UNSAT,252.942,261799,5849309,1267685668,5011764,1295,0
C_focused_stable,6s299b685_Iter30,SAT,89.636,5097,669722,27275660,304294,39,0
C_focused_stable,REGRandom-K4-L1-Seed40.sanitized,UNSAT,181.837,2406609,11125152,47579227,261659,4988,0
C_focused_stable,mp1-Nb7T46,SAT,0.692,13681,119231,3932516,5682827,89,0
