label,instance,result,base_result,time_s,base_time_s,wall_ratio,conflicts,base_conflicts,work_ratio,props_per_sec,base_props_per_sec,speed_ratio,net_work_speed,decisions,base_decisions,restarts,base_restarts,chrono_used,phase_legacy_used,phase_saved_used,phase_target_used,phase_best_used
B_occurrence,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,UNSAT,215.667,234.665,0.919042,271790,259775,1.046252,6127394.905,5592814.851,0.912756,0.954972,7720623,6772770,637,617,0,7720623,0,0,0
B_occurrence,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,SAT,33.640,18.101,1.858461,16139,3764,4.287726,3174741.855,1551980.277,0.488852,2.096065,1906713,757127,62,19,0,1906713,0,0,0
B_occurrence,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,66.463,62.199,1.068554,1592633,1607608,0.990685,475084.934,485752.456,1.022454,1.012930,7066219,6363482,3069,3069,0,7066219,0,0,0
B_occurrence,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,SAT,255.289,47.085,5.421875,2007735,425229,4.721538,5432344.202,6158528.003,1.133678,5.352703,5910049,1413611,3960,1020,0,5910049,0,0,0
B_occurrence,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,118.695,247.447,0.479678,291879,732107,0.398684,2050635.048,2496112.121,1.217239,0.485293,1540084,3188069,700,1533,0,1540084,0,0,0
B_occurrence,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,UNSAT,12.164,13.708,0.887365,172918,188144,0.919073,1046806.807,1008956.449,0.963842,0.885841,261493,283638,474,508,0,261493,0,0,0
B_occurrence,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,SAT,118.848,84.637,1.404209,446019,179968,2.478324,6722432.098,5154709.075,0.766792,1.900360,4419949,2576743,1021,503,0,4419949,0,0,0
B_occurrence,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,UNSAT,13.103,9.502,1.378973,547,403,1.357320,3795584.904,2378527.047,0.626656,0.850573,1100,1101,4,2,0,1100,0,0,0
B_occurrence,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,SAT,78.853,23.525,3.351881,1930971,593019,3.256171,527761.138,552735.515,1.047321,3.410257,4470246,1415490,3768,1274,0,4470246,0,0,0
B_occurrence,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,SAT,146.591,127.805,1.146990,4692473,4186969,1.120733,3338005.826,3412902.782,1.022438,1.145879,5999231,5354982,8188,7418,0,5999231,0,0,0
C_saved_phase,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,UNSAT,186.359,234.665,0.794149,259775,259775,1.000000,7042524.895,5592814.851,0.794149,0.794149,6772770,6772770,617,617,0,0,6772658,0,0
C_saved_phase,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,SAT,16.124,18.101,0.890780,3764,3764,1.000000,1742272.079,1551980.277,0.890780,0.890780,757127,757127,19,19,0,0,699458,0,0
C_saved_phase,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,58.584,62.199,0.941880,1607608,1607608,1.000000,515726.427,485752.456,0.941880,0.941880,6363482,6363482,3069,3069,0,0,6361035,0,0
C_saved_phase,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,SAT,42.927,47.085,0.911692,425229,425229,1.000000,6755056.049,6158528.003,0.911692,0.911692,1413611,1413611,1020,1020,0,0,1412069,0,0
C_saved_phase,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,212.050,247.447,0.856951,732107,732107,1.000000,2912782.155,2496112.121,0.856951,0.856951,3188069,3188069,1533,1533,0,0,3174337,0,0
C_saved_phase,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,UNSAT,13.391,13.708,0.976875,188144,188144,1.000000,1032841.087,1008956.449,0.976875,0.976875,283638,283638,508,508,0,0,283389,0,0
C_saved_phase,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,SAT,74.371,84.637,0.878706,179968,179968,1.000000,5866253.136,5154709.075,0.878706,0.878706,2576743,2576743,503,503,0,0,2574161,0,0
C_saved_phase,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,UNSAT,9.284,9.502,0.977057,403,403,1.000000,2434377.854,2378527.047,0.977057,0.977057,1101,1101,2,2,0,0,1083,0,0
C_saved_phase,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,SAT,23.809,23.525,1.012072,593019,593019,1.000000,546142.341,552735.515,1.012072,1.012072,1415490,1415490,1274,1274,0,0,1415025,0,0
C_saved_phase,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,SAT,127.225,127.805,0.995462,4186969,4186969,1.000000,3428461.702,3412902.782,0.995462,0.995462,5354982,5354982,7418,7418,0,0,5354948,0,0
D_target_phase,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNKNOWN,UNSAT,295.852,234.665,1.260742,315882,259775,1.215983,4716350.953,5592814.851,1.185835,1.441955,10397651,6772770,764,617,0,0,383267,10014272,0
