instance,result,time_s,timeout,exit_code
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,267.355,300,20
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,37.406,300,10
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,2.308,300,20
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,7.733,300,10
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,37.703,300,10
663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,6.718,300,20
6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,89.929,300,10
9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,50.591,300,20
ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,0.179,300,10
fab2022deb130fe3ad1136a5c71b4109-case9,SAT,77.225,300,10
feistel_b64_k32_r22,SAT,27.266,300,10
feistel_b64_k52_r17,SAT,10.272,300,10
feistel_b64_k57_r18,SAT,3.053,300,10
random_v285_s2,UNSAT,5.915,300,20
random_v292_s4,UNSAT,8.632,300,20
random_v355_s3,SAT,2.432,300,10
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,260.616,300,20
1d18837c0ced5c18a3a4693993e61728-SC25_Timetable_C_392_E_45_Cl_25_D_7_T_50.normalised,SAT,8.711,300,10
46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,2.327,300,20
557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,7.881,300,10
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,37.954,300,10
