config,instance,result_A,result_cfg,wall_A,wall_cfg,conf_A,conf_cfg,props_A,props_cfg,work_ratio,speed_ratio,net_pred,actual_wall_ratio,dominant
B_resolved,6s299b685_Iter30,SAT,SAT,16.805,18.184,3764,3764,28092395,28092395,1.000,1.082,1.082,1.082,execution
B_resolved,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,237.872,259.743,732107,732107,617655456,617655456,1.000,1.092,1.092,1.092,execution
B_resolved,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.532,62.354,1607608,1607608,30213317,30213317,1.000,1.030,1.030,1.030,noise
B_resolved,SCPC-500-13,UNSAT,UNSAT,13.877,13.982,188144,188144,13830775,13830775,1.000,1.008,1.008,1.008,noise
B_resolved,battleship-16-31-sat,SAT,SAT,23.224,23.598,593019,593019,13003103,13003103,1.000,1.016,1.016,1.016,noise
B_resolved,brocard_problem_large,UNSAT,UNSAT,8.915,9.690,403,403,22600764,22600764,1.000,1.087,1.087,1.087,execution
B_resolved,case9,SAT,SAT,128.607,128.800,4186969,4186969,436186040,436186040,1.000,1.002,1.002,1.002,noise
B_resolved,mp1-Nb7T46,SAT,SAT,45.778,48.616,425229,425229,289974291,289974291,1.000,1.062,1.062,1.062,execution
B_resolved,sudoku-N30-12,UNSAT,UNSAT,231.040,262.046,259775,259775,1312437897,1312437897,1.000,1.134,1.134,1.134,execution
B_resolved,velev-pipe-sat-1.0-b7,SAT,SAT,70.004,84.486,179968,179968,436279112,436279112,1.000,1.207,1.207,1.207,execution
C_lbd_metadata,6s299b685_Iter30,SAT,SAT,16.805,18.257,3764,3764,28092395,28092395,1.000,1.086,1.086,1.086,execution
C_lbd_metadata,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,237.872,217.972,732107,732107,617655456,617655456,1.000,0.916,0.916,0.916,execution
C_lbd_metadata,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.532,62.518,1607608,1607608,30213317,30213317,1.000,1.033,1.033,1.033,noise
C_lbd_metadata,SCPC-500-13,UNSAT,UNSAT,13.877,13.811,188144,188144,13830775,13830775,1.000,0.995,0.995,0.995,noise
C_lbd_metadata,battleship-16-31-sat,SAT,SAT,23.224,24.191,593019,593019,13003103,13003103,1.000,1.042,1.042,1.042,noise
C_lbd_metadata,brocard_problem_large,UNSAT,UNSAT,8.915,10.113,403,403,22600764,22600764,1.000,1.134,1.134,1.134,execution
C_lbd_metadata,case9,SAT,SAT,128.607,131.368,4186969,4186969,436186040,436186040,1.000,1.021,1.021,1.021,noise
C_lbd_metadata,mp1-Nb7T46,SAT,SAT,45.778,46.569,425229,425229,289974291,289974291,1.000,1.017,1.017,1.017,noise
C_lbd_metadata,sudoku-N30-12,UNSAT,UNSAT,231.040,248.690,259775,259775,1312437897,1312437897,1.000,1.076,1.076,1.076,execution
C_lbd_metadata,velev-pipe-sat-1.0-b7,SAT,SAT,70.004,82.996,179968,179968,436279112,436279112,1.000,1.186,1.186,1.186,execution
D_lbd_resolved,6s299b685_Iter30,SAT,SAT,16.805,17.520,3764,3764,28092395,28092395,1.000,1.043,1.043,1.043,noise
D_lbd_resolved,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,237.872,257.904,732107,732107,617655456,617655456,1.000,1.084,1.084,1.084,execution
D_lbd_resolved,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.532,61.787,1607608,1607608,30213317,30213317,1.000,1.021,1.021,1.021,noise
D_lbd_resolved,SCPC-500-13,UNSAT,UNSAT,13.877,14.005,188144,188144,13830775,13830775,1.000,1.009,1.009,1.009,noise
D_lbd_resolved,battleship-16-31-sat,SAT,SAT,23.224,24.107,593019,593019,13003103,13003103,1.000,1.038,1.038,1.038,noise
D_lbd_resolved,brocard_problem_large,UNSAT,UNSAT,8.915,9.782,403,403,22600764,22600764,1.000,1.097,1.097,1.097,execution
D_lbd_resolved,case9,SAT,SAT,128.607,131.163,4186969,4186969,436186040,436186040,1.000,1.020,1.020,1.020,noise
D_lbd_resolved,mp1-Nb7T46,SAT,SAT,45.778,46.837,425229,425229,289974291,289974291,1.000,1.023,1.023,1.023,noise
D_lbd_resolved,sudoku-N30-12,UNSAT,UNSAT,231.040,226.669,259775,259775,1312437897,1312437897,1.000,0.981,0.981,0.981,noise
D_lbd_resolved,velev-pipe-sat-1.0-b7,SAT,SAT,70.004,85.795,179968,179968,436279112,436279112,1.000,1.226,1.226,1.226,execution
E_focused_stable,6s299b685_Iter30,SAT,SAT,16.805,90.513,3764,5097,28092395,27275660,1.354,5.547,7.512,5.386,mixed
E_focused_stable,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,237.872,61.183,732107,47264,617655456,40350065,0.065,3.937,0.254,0.257,mixed
E_focused_stable,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.532,183.312,1607608,2406609,30213317,47579227,1.497,1.923,2.879,3.028,mixed
E_focused_stable,SCPC-500-13,UNSAT,UNSAT,13.877,27.279,188144,297962,13830775,20947242,1.584,1.298,2.056,1.966,mixed
E_focused_stable,battleship-16-31-sat,SAT,SAT,23.224,8.139,593019,262181,13003103,6605992,0.442,0.690,0.305,0.350,mixed
E_focused_stable,brocard_problem_large,UNSAT,UNSAT,8.915,15.351,403,673,22600764,53276061,1.670,0.730,1.220,1.722,mixed
E_focused_stable,case9,SAT,SAT,128.607,43.418,4186969,1495404,436186040,149837596,0.357,0.983,0.351,0.338,trajectory
E_focused_stable,mp1-Nb7T46,SAT,SAT,45.778,0.802,425229,13681,289974291,3932516,0.032,1.292,0.042,0.018,mixed
E_focused_stable,sudoku-N30-12,UNSAT,UNSAT,231.040,239.014,259775,261799,1312437897,1267685668,1.008,1.071,1.079,1.035,execution
E_focused_stable,velev-pipe-sat-1.0-b7,SAT,SAT,70.004,89.900,179968,214773,436279112,444115695,1.193,1.262,1.506,1.284,mixed
F_focused_stable_resolved,6s299b685_Iter30,SAT,SAT,16.805,89.750,3764,5097,28092395,27275660,1.354,5.501,7.449,5.341,mixed
F_focused_stable_resolved,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,237.872,55.716,732107,47264,617655456,40350065,0.065,3.585,0.231,0.234,mixed
F_focused_stable_resolved,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.532,174.643,1607608,2406609,30213317,47579227,1.497,1.832,2.743,2.885,mixed
F_focused_stable_resolved,SCPC-500-13,UNSAT,UNSAT,13.877,26.822,188144,297962,13830775,20947242,1.584,1.276,2.021,1.933,mixed
F_focused_stable_resolved,battleship-16-31-sat,SAT,SAT,23.224,7.849,593019,262181,13003103,6605992,0.442,0.665,0.294,0.338,mixed
F_focused_stable_resolved,brocard_problem_large,UNSAT,UNSAT,8.915,14.416,403,673,22600764,53276061,1.670,0.686,1.146,1.617,mixed
F_focused_stable_resolved,case9,SAT,SAT,128.607,43.848,4186969,1495404,436186040,149837596,0.357,0.993,0.354,0.341,trajectory
F_focused_stable_resolved,mp1-Nb7T46,SAT,SAT,45.778,0.704,425229,13681,289974291,3932516,0.032,1.134,0.036,0.015,mixed
F_focused_stable_resolved,sudoku-N30-12,UNSAT,UNSAT,231.040,285.884,259775,261799,1312437897,1267685668,1.008,1.281,1.291,1.237,execution
F_focused_stable_resolved,velev-pipe-sat-1.0-b7,SAT,SAT,70.004,79.146,179968,214773,436279112,444115695,1.193,1.111,1.325,1.131,mixed
