config,instance,result,verified,wall_s,conflicts,decisions,propagations,props_per_s,restarts,learned_clauses_final,reduce_db_calls,original_clauses_after_preprocess,original_lits_after_preprocess,preprocess_time_s
A_baseline,6s299b685_Iter30,SAT,ok,16.805,3764,757127,28092395,1671669,19,3761,0,4477700,15020276,7.991609
A_baseline,Kakuro-easy-112-ext.xml.hg_7,SAT,ok,237.872,732107,3188069,617655456,2596587,1533,732065,0,14738579,52880887,34.074869
A_baseline,REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,60.532,1607608,6363482,30213317,499130,3069,1607481,0,823936,2748656,9.112986
A_baseline,SCPC-500-13,UNSAT,no-checker,13.877,188144,283638,13830775,996669,508,4140,0,10712,59977,0.027658
A_baseline,battleship-16-31-sat,SAT,ok,23.224,593019,1415490,13003103,559899,1274,7603,0,3976,15376,0.001223
A_baseline,brocard_problem_large,UNSAT,no-checker,8.915,403,1101,22600764,2535139,2,401,0,4086125,13124060,2.458418
A_baseline,case9,SAT,ok,128.607,4186969,5354982,436186040,3391620,7418,9378,0,3702,8604,0.001017
A_baseline,mp1-Nb7T46,SAT,ok,45.778,425229,1413611,289974291,6334359,1020,425229,0,229320,797524,0.198482
A_baseline,sudoku-N30-12,UNSAT,no-checker,231.040,259775,6772770,1312437897,5680566,617,212310,0,1722657,5840034,3.555879
A_baseline,velev-pipe-sat-1.0-b7,SAT,ok,70.004,179968,2576743,436279112,6232203,503,179968,0,8763165,23218821,25.611308
B_resolved,6s299b685_Iter30,SAT,ok,18.184,3764,757127,28092395,1544896,19,3761,0,4477700,15020276,8.334374
B_resolved,Kakuro-easy-112-ext.xml.hg_7,SAT,ok,259.743,732107,3188069,617655456,2377948,1533,732065,0,14738579,52880887,34.408410
B_resolved,REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,62.354,1607608,6363482,30213317,484545,3069,1607481,0,823936,2748656,9.170900
B_resolved,SCPC-500-13,UNSAT,no-checker,13.982,188144,283638,13830775,989184,508,4140,0,10712,59977,0.027739
B_resolved,battleship-16-31-sat,SAT,ok,23.598,593019,1415490,13003103,551026,1274,7603,0,3976,15376,0.001216
B_resolved,brocard_problem_large,UNSAT,no-checker,9.690,403,1101,22600764,2332380,2,401,0,4086125,13124060,2.526495
B_resolved,case9,SAT,ok,128.800,4186969,5354982,436186040,3386538,7418,9378,0,3702,8604,0.000995
B_resolved,mp1-Nb7T46,SAT,ok,48.616,425229,1413611,289974291,5964586,1020,425229,0,229320,797524,0.204818
B_resolved,sudoku-N30-12,UNSAT,no-checker,262.046,259775,6772770,1312437897,5008426,617,212310,0,1722657,5840034,3.651943
B_resolved,velev-pipe-sat-1.0-b7,SAT,ok,84.486,179968,2576743,436279112,5163922,503,179968,0,8763165,23218821,29.421855
C_lbd_metadata,6s299b685_Iter30,SAT,ok,18.257,3764,757127,28092395,1538719,19,3761,0,4477700,15020276,8.306386
C_lbd_metadata,Kakuro-easy-112-ext.xml.hg_7,SAT,ok,217.972,732107,3188069,617655456,2833646,1533,732065,0,14738579,52880887,33.113379
C_lbd_metadata,REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,62.518,1607608,6363482,30213317,483274,3069,1607481,0,823936,2748656,9.146301
C_lbd_metadata,SCPC-500-13,UNSAT,no-checker,13.811,188144,283638,13830775,1001432,508,4140,0,10712,59977,0.027325
C_lbd_metadata,battleship-16-31-sat,SAT,ok,24.191,593019,1415490,13003103,537518,1274,7603,0,3976,15376,0.001226
C_lbd_metadata,brocard_problem_large,UNSAT,no-checker,10.113,403,1101,22600764,2234823,2,401,0,4086125,13124060,2.564882
C_lbd_metadata,case9,SAT,ok,131.368,4186969,5354982,436186040,3320337,7418,9378,0,3702,8604,0.001019
C_lbd_metadata,mp1-Nb7T46,SAT,ok,46.569,425229,1413611,289974291,6226767,1020,425229,0,229320,797524,0.195220
C_lbd_metadata,sudoku-N30-12,UNSAT,no-checker,248.690,259775,6772770,1312437897,5277405,617,212310,0,1722657,5840034,3.611642
C_lbd_metadata,velev-pipe-sat-1.0-b7,SAT,ok,82.996,179968,2576743,436279112,5256628,503,179968,0,8763165,23218821,24.875998
D_lbd_resolved,6s299b685_Iter30,SAT,ok,17.520,3764,757127,28092395,1603447,19,3761,0,4477700,15020276,8.171078
D_lbd_resolved,Kakuro-easy-112-ext.xml.hg_7,SAT,ok,257.904,732107,3188069,617655456,2394905,1533,732065,0,14738579,52880887,33.737595
D_lbd_resolved,REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,61.787,1607608,6363482,30213317,488991,3069,1607481,0,823936,2748656,9.172596
D_lbd_resolved,SCPC-500-13,UNSAT,no-checker,14.005,188144,283638,13830775,987560,508,4140,0,10712,59977,0.027285
D_lbd_resolved,battleship-16-31-sat,SAT,ok,24.107,593019,1415490,13003103,539391,1274,7603,0,3976,15376,0.001232
D_lbd_resolved,brocard_problem_large,UNSAT,no-checker,9.782,403,1101,22600764,2310444,2,401,0,4086125,13124060,2.497573
D_lbd_resolved,case9,SAT,ok,131.163,4186969,5354982,436186040,3325527,7418,9378,0,3702,8604,0.001027
D_lbd_resolved,mp1-Nb7T46,SAT,ok,46.837,425229,1413611,289974291,6191137,1020,425229,0,229320,797524,0.193971
D_lbd_resolved,sudoku-N30-12,UNSAT,no-checker,226.669,259775,6772770,1312437897,5790108,617,212310,0,1722657,5840034,3.676050
D_lbd_resolved,velev-pipe-sat-1.0-b7,SAT,ok,85.795,179968,2576743,436279112,5085134,503,179968,0,8763165,23218821,28.911164
E_focused_stable,6s299b685_Iter30,SAT,ok,90.513,5097,669722,27275660,301345,39,5092,0,4477552,15019716,7.947614
