pair,instance,base_result,resolved_result,base_wall_s,resolved_wall_s,wall_ratio,base_conflicts,resolved_conflicts,base_decisions,resolved_decisions,base_propagations,resolved_propagations,same_work,base_props_per_s,resolved_props_per_s,props_per_s_ratio_resolved_over_base
B_resolved_vs_A_baseline,6s299b685_Iter30,SAT,SAT,16.805,18.184,1.082,3764,3764,757127,757127,28092395,28092395,yes,1671669,1544896,0.924
B_resolved_vs_A_baseline,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,237.872,259.743,1.092,732107,732107,3188069,3188069,617655456,617655456,yes,2596587,2377948,0.916
B_resolved_vs_A_baseline,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,60.532,62.354,1.030,1607608,1607608,6363482,6363482,30213317,30213317,yes,499130,484545,0.971
B_resolved_vs_A_baseline,SCPC-500-13,UNSAT,UNSAT,13.877,13.982,1.008,188144,188144,283638,283638,13830775,13830775,yes,996669,989184,0.992
B_resolved_vs_A_baseline,battleship-16-31-sat,SAT,SAT,23.224,23.598,1.016,593019,593019,1415490,1415490,13003103,13003103,yes,559899,551026,0.984
B_resolved_vs_A_baseline,brocard_problem_large,UNSAT,UNSAT,8.915,9.690,1.087,403,403,1101,1101,22600764,22600764,yes,2535139,2332380,0.920
B_resolved_vs_A_baseline,case9,SAT,SAT,128.607,128.800,1.002,4186969,4186969,5354982,5354982,436186040,436186040,yes,3391620,3386538,0.999
B_resolved_vs_A_baseline,mp1-Nb7T46,SAT,SAT,45.778,48.616,1.062,425229,425229,1413611,1413611,289974291,289974291,yes,6334359,5964586,0.942
B_resolved_vs_A_baseline,sudoku-N30-12,UNSAT,UNSAT,231.040,262.046,1.134,259775,259775,6772770,6772770,1312437897,1312437897,yes,5680566,5008426,0.882
B_resolved_vs_A_baseline,velev-pipe-sat-1.0-b7,SAT,SAT,70.004,84.486,1.207,179968,179968,2576743,2576743,436279112,436279112,yes,6232203,5163922,0.829
D_lbd_resolved_vs_C_lbd_metadata,6s299b685_Iter30,SAT,SAT,18.257,17.520,0.960,3764,3764,757127,757127,28092395,28092395,yes,1538719,1603447,1.042
D_lbd_resolved_vs_C_lbd_metadata,Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,217.972,257.904,1.183,732107,732107,3188069,3188069,617655456,617655456,yes,2833646,2394905,0.845
D_lbd_resolved_vs_C_lbd_metadata,REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,62.518,61.787,0.988,1607608,1607608,6363482,6363482,30213317,30213317,yes,483274,488991,1.012
D_lbd_resolved_vs_C_lbd_metadata,SCPC-500-13,UNSAT,UNSAT,13.811,14.005,1.014,188144,188144,283638,283638,13830775,13830775,yes,1001432,987560,0.986
D_lbd_resolved_vs_C_lbd_metadata,battleship-16-31-sat,SAT,SAT,24.191,24.107,0.997,593019,593019,1415490,1415490,13003103,13003103,yes,537518,539391,1.003
D_lbd_resolved_vs_C_lbd_metadata,brocard_problem_large,UNSAT,UNSAT,10.113,9.782,0.967,403,403,1101,1101,22600764,22600764,yes,2234823,2310444,1.034
