target,config,result,time_s,wall_ratio,conflicts,work_ratio,decisions,propagations,props_per_s,speed_ratio,net_work_speed,reductions,learned_collected,learned_clauses_final,learned_lits_final,gc_count,gc_refs_rewritten,gc_words_reclaimed,proof_bytes_written,max_rss_mb,termination_reason,unknown_reason
mp1,A_default,SAT,45.384,1.000,425229,1.000,1413611,289974291,6398956.4,1.000,1.000,0,0,425229,84322884,1,458640,840840,536895700,424,sat,
mp1,C_reason_lbd,SAT,46.867,1.033,425229,1.000,1413611,289974291,6200168.5,1.032,1.032,0,0,425229,84322884,1,458640,840840,536895700,765,sat,
mp1,D_lbd_tiered,UNKNOWN,296.225,6.527,2435758,5.728,6445716,1589580043,5368439.7,1.192,6.828,237,2245127,190631,25961729,58,10421295,480494070,6879130308,1703,wall-clock-limit,wall-clock-limit
mp1,I_lbd_tiered_no_reason,UNKNOWN,296.142,6.525,2623810,6.170,6816932,1661053130,5610812.9,1.140,7.037,249,2365573,258237,12662146,60,12618180,503165710,6342183910,1917,wall-clock-limit,wall-clock-limit
mp1,G_lbd_tiered_delayed,UNKNOWN,296.200,6.527,2357430,5.544,6376228,1553226677,5245660.4,1.220,6.763,226,2158076,199354,19209020,56,11837415,492114670,6677780842,1707,wall-clock-limit,wall-clock-limit
mp1,H_lbd_tiered_slow_interval,UNKNOWN,296.459,6.532,2431285,5.718,6548826,1652319035,5581382.4,1.146,6.555,42,2320667,110618,36769602,17,6606171,464928177,6644240640,1865,wall-clock-limit,wall-clock-limit
regrandom,A_default,UNSAT,59.179,1.000,1607608,1.000,6363482,30213317,511721.9,1.000,1.000,0,0,1607481,199682333,1,2346752,1240448,2074144226,970,unsat,
regrandom,D_lbd_tiered,UNSAT,98.385,1.662,2732997,1.700,11101901,50426921,513364.5,0.997,1.695,256,2596793,135899,4724458,32,14590858,393010212,4821906945,1660,unsat,
regrandom,G_lbd_tiered_delayed,UNSAT,82.799,1.399,2111542,1.313,9619513,39708265,480095.8,1.066,1.400,209,1951720,159606,7693293,28,11062254,353796277,4462960445,1567,unsat,
regrandom,H_lbd_tiered_slow_interval,UNSAT,67.910,1.148,1475298,0.918,5972630,28627202,423341.4,1.209,1.109,8,350646,1124514,129322093,2,6676571,77225599,2449015974,5470,unsat,
