config,instance,base_result,result,base_time_s,time_s,wall_ratio,base_conflicts,conflicts,work_ratio,base_props_per_s,props_per_s,speed_ratio,net_work_speed,base_decisions,decisions,base_propagations,propagations,base_reduce_db_calls,reduce_db_calls,base_learned_clauses_final,learned_clauses_final,base_learned_lits_final,learned_lits_final,base_learned_collected,learned_collected,base_gc_count,gc_count,base_max_rss_kb,max_rss_kb
B_lbd_metadata,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,UNSAT,223.300,226.246,1.013,259775,259775,1.000,5877464.8,5800933.0,1.013,1.013,6772770,6772770,1312437897,1312437897,,,212310,212310,29406410,29406410,0,0,1,1,,
B_lbd_metadata,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,SAT,18.642,17.457,0.936,3764,3764,1.000,1506941.0,1609233.8,0.936,0.936,757127,757127,28092395,28092395,,,3761,3761,52041,52041,0,0,1,1,,
B_lbd_metadata,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,UNSAT,62.903,60.089,0.955,1607608,1607608,1.000,480316.0,502809.4,0.955,0.955,6363482,6363482,30213317,30213317,,,1607481,1607481,199682333,199682333,0,0,1,1,,
B_lbd_metadata,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,SAT,48.369,45.665,0.944,425229,425229,1.000,5995044.2,6350033.7,0.944,0.944,1413611,1413611,289974291,289974291,,,425229,425229,84322884,84322884,0,0,1,1,,
B_lbd_metadata,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,SAT,257.658,255.727,0.993,732107,732107,1.000,2397191.1,2415292.3,0.993,0.993,3188069,3188069,617655456,617655456,,,732065,732065,18428430,18428430,0,0,1,1,,
B_lbd_metadata,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,UNSAT,13.449,13.617,1.012,188144,188144,1.000,1028386.9,1015699.1,1.012,1.012,283638,283638,13830775,13830775,,,4140,4140,90849,90849,0,0,19,19,,
B_lbd_metadata,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,SAT,69.719,77.640,1.114,179968,179968,1.000,6257678.9,5619257.0,1.114,1.114,2576743,2576743,436279112,436279112,,,179968,179968,42823854,42823854,0,0,1,1,,
B_lbd_metadata,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,UNSAT,8.832,9.372,1.061,403,403,1.000,2558963.3,2411519.8,1.061,1.061,1101,1101,22600764,22600764,,,401,401,29494,29494,0,0,1,1,,
B_lbd_metadata,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,SAT,23.320,23.615,1.013,593019,593019,1.000,557594.5,550629.0,1.013,1.013,1415490,1415490,13003103,13003103,,,7603,7603,1268878,1268878,0,0,135,135,,
B_lbd_metadata,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,SAT,127.684,129.831,1.017,4186969,4186969,1.000,3416137.0,3359644.8,1.017,1.017,5354982,5354982,436186040,436186040,,,9378,9378,252463,252463,0,0,598,598,,
