config,instance,result,verified,time_s,timeout,exit_code,baseline_result,baseline_verified,log_dir,stopped_after_regression
default,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,no-checker,236.575,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,0
default,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,ok,17.477,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,0
default,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNSAT,no-checker,60.990,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,0
default,557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,SAT,ok,47.966,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46,0
default,5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,SAT,ok,255.761,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,0
default,663bb5659e42c2c75f74354f48895302-SCPC-500-13,UNSAT,no-checker,13.538,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/663bb5659e42c2c75f74354f48895302-SCPC-500-13,0
default,6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,SAT,ok,77.545,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,0
default,9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,UNSAT,no-checker,9.240,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large,0
default,ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,SAT,ok,23.401,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat,0
default,fab2022deb130fe3ad1136a5c71b4109-case9,SAT,ok,127.272,300,0,,,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/default/fab2022deb130fe3ad1136a5c71b4109-case9,0
no_bve,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNKNOWN,skip,295.774,300,0,UNSAT,no-checker,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/no_bve/0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,1
no_full_bsr,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,no-checker,181.211,300,0,UNSAT,no-checker,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/no_full_bsr/0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,0
no_full_bsr,3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,SAT,ok,13.205,300,0,SAT,ok,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/no_full_bsr/3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,0
no_full_bsr,46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,UNKNOWN,skip,296.780,300,0,UNSAT,no-checker,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/no_full_bsr/46355da785714f239393e7630020cae3-REGRandom-K4-L1-Seed40.sanitized,1
no_simplification,0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNKNOWN,skip,295.770,300,0,UNSAT,no-checker,/tmp/analyzesat-20260526-111233/log/analyzesat-2026-05-26-preprocess-proof/runs/no_simplification/0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,1
