instance,config,result,elapsed_sec,preprocess_sec,search_sec,conflicts,decisions,propagations,lucky_attempts,lucky_solved,note
battleship-16-31-sat,solver11_default,SAT,19.05,0.001226,19.030246,593019,1415490,13003103,0,0,baseline-today
battleship-16-31-sat,solver11_lucky_on,SAT,0.080742,0.001264,0.0,0,0,0,7,1,pattern-or-localrepair-hit
battleship-16-31-sat,kissat-latest,SAT,0.18,,,,86362,1005696,,,,walk+CDCL
6s299b685_Iter30,solver11_default,SAT,19.20,,,,,,,,re-measured-today
6s299b685_Iter30,kissat-latest,SAT,43.32,,,,,,,,re-measured-today
brocard_problem_large,solver11_default,UNSAT,9.06,2.345371,4.904344,403,1101,22600764,0,0,re-measured-today
brocard_problem_large,kissat-latest,UNSAT,56.71,,,20840,2092980,123234550,,,re-measured-today
REGRandom-Seed40,solver11_default,UNSAT,51.36,6.612084,44.526167,1607608,6363482,30213317,0,0,today
REGRandom-Seed40,solver11_lucky_on,UNSAT,53.16,6.64,46.24,1607608,,30213317,7,0,trajectory-identical
REGRandom-Seed40,kissat-latest,UNSAT,2.33,,,5263,141877,504005,,,
mp1-Nb7T46,solver11_lucky_on,SAT,42.54,0.16,42.27,425229,,289974291,7,0,
SCPC-500-13,solver11_lucky_on,UNSAT,15.46,0.03,13.61,188144,,13830775,7,0,
case9,solver11_lucky_on,SAT,122.97,0.0,122.90,4186969,,436186040,7,0,
sudoku-N30-12,solver11_lucky_on,UNSAT,229.69,2.91,225.27,259775,,1312437897,7,0,3-parallel-host
velev-pipe-sat,solver11_default,SAT,65.17,23.35,39.51,179968,,,0,0,clean-rerun-today
velev-pipe-sat,solver11_lucky_on,SAT,86.33,28.95,54.07,179968,,436279112,7,0,host-contended
Kakuro-easy-112,solver11_lucky_on,SAT,249.59,34.98,205.84,732107,,617655456,7,0,3-parallel-host
