tag	run	par2_all	par2_easy	par2_hard	solved	n	env
baseline	1	6815.651	815.651	6000.000	10	20	
baseline	2	6799.539	799.539	6000.000	10	20	
solver10	1	6773.182	773.182	6000.000	10	20	
lucky	1	6803.979	803.979	6000.000	10	20	SAT_LUCKY=on
chrono	1	6801.299	801.299	6000.000	10	20	SAT_CHRONO=on
binary_fast	1	6765.581	1129.627	5635.954	11	20	SAT_BINARY_FAST=on
restart_reuse_trail	1	6803.097	803.097	6000.000	10	20	SAT_RESTART_REUSE_TRAIL=on
reorder	1	7246.053	1246.053	6000.000	9	20	SAT_REORDER=on
otfs	1	6807.921	807.921	6000.000	10	20	SAT_OTFS=on
otss	1	7779.369	1779.369	6000.000	8	20	SAT_OTSS=on
use_lbd	1	6869.196	869.196	6000.000	10	20	SAT_USE_LBD=on
lbd_update_reasons	1	6883.047	883.047	6000.000	10	20	SAT_LBD_UPDATE_REASONS=on SAT_USE_LBD=on
lbd_update_pair	1	6904.309	904.309	6000.000	10	20	SAT_LBD_UPDATE_PROP_REASONS=on SAT_LBD_UPDATE_REASONS=on SAT_USE_LBD=on
lbd_tiered	1	6299.435	1805.249	4494.186	11	20	SAT_REDUCE=lbd-tiered SAT_USE_LBD=on
reduce_tier2	1	6298.399	1806.784	4491.615	11	20	SAT_REDUCE=lbd-tiered SAT_REDUCE_TIER2_AT_BUDGET=on SAT_USE_LBD=on
watch_compact	1	6313.833	1823.012	4490.821	11	20	SAT_REDUCE=lbd-tiered SAT_USE_LBD=on SAT_WATCH_COMPACT=on
fstab	1	6433.601	1027.304	5406.297	11	20	SAT_MODE_USE_TICKS=on SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on
fstab_novmtf	1	7229.673	1821.801	5407.872	9	20	SAT_MODE_USE_TICKS=on SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on SAT_VMTF=off
fstab_lbdtier	1	5653.070	1049.693	4603.377	13	20	SAT_MODE_USE_TICKS=on SAT_REDUCE=lbd-tiered SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on
fstab_rephase	1	6827.310	1422.546	5404.764	10	20	SAT_MODE_USE_TICKS=on SAT_REPHASE=on SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on
fstab_full	1	6730.423	2138.028	4592.395	10	20	SAT_MODE_USE_TICKS=on SAT_REDUCE=lbd-tiered SAT_REPHASE=on SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on
lucky_chrono	1	6804.916	804.916	6000.000	10	20	SAT_CHRONO=on SAT_LUCKY=on
otfs_otss	1	7776.231	1776.231	6000.000	8	20	SAT_OTFS=on SAT_OTSS=on
restart_reuse_chrono	1	6800.592	800.592	6000.000	10	20	SAT_CHRONO=on SAT_RESTART_REUSE_TRAIL=on
lucky	2	6798.149	798.149	6000.000	10	20	SAT_LUCKY=on
chrono	2	6795.647	795.647	6000.000	10	20	SAT_CHRONO=on
binary_fast	2	6764.118	1127.627	5636.491	11	20	SAT_BINARY_FAST=on
restart_reuse_trail	2	6800.384	800.384	6000.000	10	20	SAT_RESTART_REUSE_TRAIL=on
otfs	2	6798.734	798.734	6000.000	10	20	SAT_OTFS=on
use_lbd	2	6874.340	874.340	6000.000	10	20	SAT_USE_LBD=on
lbd_update_reasons	2	6879.016	879.016	6000.000	10	20	SAT_LBD_UPDATE_REASONS=on SAT_USE_LBD=on
lbd_update_pair	2	6912.124	912.124	6000.000	10	20	SAT_LBD_UPDATE_PROP_REASONS=on SAT_LBD_UPDATE_REASONS=on SAT_USE_LBD=on
fstab_rephase	2	6833.870	1429.031	5404.839	10	20	SAT_MODE_USE_TICKS=on SAT_REPHASE=on SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on
fstab_full	2	6732.958	2139.472	4593.486	10	20	SAT_MODE_USE_TICKS=on SAT_REDUCE=lbd-tiered SAT_REPHASE=on SAT_SEARCH_MODE=focused-stable SAT_USE_LBD=on
lucky_chrono	2	6799.671	799.671	6000.000	10	20	SAT_CHRONO=on SAT_LUCKY=on
restart_reuse_chrono	2	6803.984	803.984	6000.000	10	20	SAT_CHRONO=on SAT_RESTART_REUSE_TRAIL=on
