config	instance	seed	result	time_s	conflicts	propagations	decisions
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	0	SATISFIABLE	4.3	111193	10904346	226678
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	1	SATISFIABLE	5.1	129859	12820254	242414
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	2	SATISFIABLE	7.7	179019	18944386	331929
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	3	SATISFIABLE	8.1	192471	20052078	357797
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	4	SATISFIABLE	9.8	189192	19212941	342407
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	5	SATISFIABLE	5.6	137790	13933893	268592
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	6	SATISFIABLE	26.3	301797	36547017	516929
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	7	SATISFIABLE	5.5	135227	13923455	267373
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	8	SATISFIABLE	17.9	307073	36530911	522577
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	9	SATISFIABLE	8.1	185187	20271732	356781
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	0	UNSATISFIABLE	159.2	2182837	613189717	2756601
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	1	UNSATISFIABLE	143.5	2265986	620911006	2870750
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	2	UNSATISFIABLE	144.0	2206914	607367495	2796977
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	3	UNSATISFIABLE	134.1	2087133	584241297	2639393
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	4	UNSATISFIABLE	154.8	2253252	629595906	2840544
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	5	UNSATISFIABLE	144.3	2232090	619556825	2828061
default	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	6	UNSATISFIABLE	141.0	2186442	606382855	2775336
