config	instance	seed	result	time_s	conflicts	propagations	decisions
default	ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat	0	SATISFIABLE	0.1	0	0	0
default	ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat	1	SATISFIABLE	0.1	0	0	0
default	ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat	2	SATISFIABLE	0.1	0	0	0
default	ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat	3	SATISFIABLE	0.1	0	0	0
default	ed6d842f96d10f3400bce251f9e95bfb-battleship-16-31-sat	4	SATISFIABLE	0.1	0	0	0
default	557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46	0	SATISFIABLE	4.0	43838	18874613	216405
default	557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46	1	SATISFIABLE	1.1	14379	5370015	175621
default	557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46	2	SATISFIABLE	1.7	23528	8386586	214763
default	557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46	3	SATISFIABLE	0.9	13349	3575991	99371
default	557d7d4db5399188f62bc39598c6d868-mp1-Nb7T46	4	SATISFIABLE	2.0	12482	4522110	164198
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	0	SATISFIABLE	4.3	111193	10904346	226678
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	1	SATISFIABLE	5.1	129859	12820254	242414
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	2	SATISFIABLE	7.8	179019	18944386	331929
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	3	SATISFIABLE	8.1	192471	20052078	357797
default	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	4	SATISFIABLE	8.1	189192	19212941	342407
default	9af7646fc4a32c6f2744ddc0c4b654b7-brocard_problem_large	0	UNSATISFIABLE	21.2	673	53276061	3392
