instance,result,time_s,timeout,exit_code
00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised,TIMEOUT,3600.036,3600,124
00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised,SAT,37.959,3600,10
0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised,UNSAT,293.913,3600,20
032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40,SAT,10.757,3600,10
03e852aa864cfe6eb49c264b462b8157-gm24sparrc,UNSAT,13.641,3600,20
04648cef5bed430ab6429991fa9e107d-ramsey_3_6_19.normalised,TIMEOUT,3600.027,3600,124
04f43bb4a4f2c193a18e7195a4fd8e41-goldcrest-and-11,UNSAT,757.454,3600,20
053e06424279f5cfec8bb14dfa9af23c-oisc-subrv-and-nested-15,TIMEOUT,3601.172,3600,124
062f58e44eb73f9274b57af5092cad90-rook-51-0-0,UNSAT,1903.944,3600,20
06d2ca2ee0b47f00d93090495f7fd4f4-clqcl_100_6_5.normalised,TIMEOUT,3600.022,3600,124
07cea7a64248a60d509368d09d3057c2-pj2013_k9,UNSAT,40.659,3600,20
081f111af59344b61346367a930e24f6-Break_triple_04_06.xml,SAT,0.039,3600,10
0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12,SAT,20.884,3600,10
08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6,TIMEOUT,3600.049,3600,124
09befe1ffd4e02a988cadecd0a012261-GP_300_140_20,SAT,11.306,3600,10
09cd83e233380d0ba1fc56cee88367b1-s38417,UNSAT,3.362,3600,20
0a4880c0e882e6a4a31943522573c394-b19_1,UNSAT,820.527,3600,20
0a8a4c28d27228e954354ea0a6e7f16c-sum_of_three_cubes_42_known_representation,SAT,262.142,3600,10
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,UNSAT,645.763,3600,20
0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24,SAT,1158.385,3600,10
0c0430a68f147be18ab3fded07f30fdb-oddball_53_5_tto_zp.normalised,SAT,2565.117,3600,10
