feature_flag,config_field,maturity,proof_validated,model_validated,full_set_validated,promoted_profiles,validation_artifact,risk_ids,last_changed_task
SAT_USE_LBD,use_lbd,SmokeSafe,true,true,false,none,log/0.0b/findings.md,search-metadata,0.3
SAT_LBD_UPDATE_REASONS,update_reason_lbd,SmokeSafe,true,true,false,none,log/1.2/lbd-reason-update.md,reason-metadata,1.2
SAT_CHRONO,chrono_backtrack,ParkingLot,false,false,false,none,,backtracking,0.3
SAT_BINARY_FAST,binary_fast_path,SmokeSafe,true,true,false,none,log/1.6/summary.md,propagation,1.6
SAT_VMTF,vmtf,ParkingLot,false,false,false,none,,branching,0.3
SAT_REPHASE,rephase,ParkingLot,false,false,false,none,,phase-selection,0.3
SAT_SIMPLIFICATION,simplification,SmokeSafe,true,true,false,default|fast,solver/11-kissat-port/BASELINE_LOCK.raw.txt,preprocess,0.3
SAT_BVE,bve,SmokeSafe,true,true,false,default|fast,solver/11-kissat-port/BASELINE_LOCK.raw.txt,preprocess-bve,0.3
SAT_FULL_BSR,full_bsr,SmokeSafe,true,true,false,default|fast,solver/11-kissat-port/BASELINE_LOCK.raw.txt,preprocess-bsr,0.3
SAT_INPROCESS,inprocess,ParkingLot,false,false,false,none,,inprocessing,0.3
SAT_VIVIFY,vivify,ParkingLot,false,false,false,none,,vivification,0.3
SAT_PROBE,probe,ParkingLot,false,false,false,none,,probing,0.3
SAT_HBR,hbr,ParkingLot,false,false,false,none,,hyper-binary-resolution,0.3
SAT_TRANSITIVE,transitive,ParkingLot,false,false,false,none,,transitive-reduction,0.3
SAT_FORWARD_SUBSUME,forward_subsume,ParkingLot,false,false,false,none,,subsumption,0.3
SAT_GATE_EXTRACT,gate_extract,ParkingLot,false,false,false,none,,gate-extraction,0.3
SAT_GATE_BVE,gate_bve,ParkingLot,false,false,false,none,,gate-aware-bve,0.3
SAT_RCHECK,rcheck,ParkingLot,false,false,false,none,,redundancy-checking,0.3
